countries,feature,value,confidence
Ethiopian,blurry,yes,0.04
Ethiopian,brown hair,no,0.09
Ethiopian,bushy eyebrows,no,0.74
Ethiopian,chubby,yes,0.05
Ethiopian,double chin,no,0.27
Ethiopian,expression,smile,0.01
Ethiopian,gender,female,0.63
Ethiopian,glasses,no,1.0
Ethiopian,goatee,no,0.69
Ethiopian,gray hair,no,0.68
Ethiopian,heavy makeup,no,0.81
Ethiopian,high cheekbones,yes,0.28
Ethiopian,mouth open,no,0.9
Ethiopian,mustache,no,0.77
Ethiopian,narrow eyes,no,1.0
Ethiopian,oval face,yes,0.77
Ethiopian,pale skin,no,0.85
Ethiopian,pointy nose,no,1.0
Ethiopian,race,black,0.99
Ethiopian,receding hairline,yes,0.57
Ethiopian,rosy cheeks,no,1.0
Ethiopian,sideburns,no,1.0
Ethiopian,straight hair,yes,0.07
Ethiopian,wavy hair,no,0.85
Ethiopian,wearing earrings,yes,0.07
Ethiopian,wearing hat,no,0.82
Ethiopian,wearing lipstick,no,0.41
Ethiopian,wearing necklace,no,0.2
Ethiopian,wearing necktie,no,0.76
Ethiopian,young,yes,0.25
Filipino,5oclock shadow,no,1.0
Filipino,arched eyebrows,yes,0.04
Filipino,attractive,yes,0.02
Filipino,bags under eyes,no,0.86
Filipino,bald,no,0.71
Filipino,bangs,no,0.98
Filipino,beard,no,1.0
Filipino,big lips,no,0.49
Filipino,big nose,no,0.96
Filipino,black hair,no,0.22
Filipino,blond hair,no,0.74
Filipino,blurry,yes,0.06
Filipino,brown hair,yes,0.31
Filipino,bushy eyebrows,no,0.86
Filipino,chubby,no,0.62
Filipino,double chin,no,0.97
Filipino,expression,neutral,0.31
Filipino,gender,female,1.0
Filipino,glasses,no,1.0
Filipino,goatee,no,0.99
Filipino,gray hair,no,1.0
Filipino,heavy makeup,no,0.24
Filipino,high cheekbones,no,0.2
Filipino,mouth open,no,0.87
Filipino,mustache,no,1.0
Filipino,narrow eyes,no,0.29
Filipino,oval face,yes,0.85
Filipino,pale skin,no,0.4
Filipino,pointy nose,no,0.92
Filipino,race,asian,1.0
Filipino,receding hairline,no,0.02
Filipino,rosy cheeks,no,1.0
Filipino,sideburns,no,1.0
Filipino,straight hair,yes,0.53
Filipino,wavy hair,no,0.91
Filipino,wearing earrings,yes,0.06
Filipino,wearing hat,no,0.97
Filipino,wearing lipstick,yes,0.12
Filipino,wearing necklace,no,0.29
Filipino,wearing necktie,no,1.0
Filipino,young,yes,0.71
French,5oclock shadow,no,1.0
French,arched eyebrows,no,0.45
French,attractive,yes,0.24
French,bags under eyes,no,0.81
French,bald,no,0.56
French,bangs,no,0.54
French,beard,no,1.0
French,big lips,no,0.77
French,big nose,no,1.0
French,black hair,no,0.73
French,blond hair,yes,0.1
French,blurry,no,0.17
French,brown hair,no,0.12
French,bushy eyebrows,no,1.0
French,chubby,no,0.7
French,double chin,no,0.88
French,expression,smile,0.86
French,gender,female,1.0
French,glasses,no,1.0
French,goatee,no,1.0
French,gray hair,no,0.74
French,heavy makeup,no,0.08
French,high cheekbones,yes,0.65
French,mouth open,no,0.79
French,mustache,no,1.0
French,narrow eyes,no,0.81
French,oval face,yes,1.0
French,pale skin,yes,0.14
French,pointy nose,no,0.7
French,race,white,1.0
French,receding hairline,no,0.08
French,rosy cheeks,no,0.7
French,sideburns,no,1.0
French,straight hair,yes,0.72
French,wavy hair,no,1.0
French,wearing earrings,no,0.02
French,wearing hat,no,0.85
French,wearing lipstick,yes,0.29
French,wearing necklace,no,0.35
French,wearing necktie,no,0.84
French,young,yes,0.48
German,5oclock shadow,no,1.0
German,arched eyebrows,no,0.58
German,attractive,no,0.48
German,bags under eyes,no,0.57
German,bald,no,0.53
German,bangs,no,0.27
German,beard,no,1.0
German,big lips,no,0.66
German,big nose,no,0.84
German,black hair,no,0.64
German,blond hair,yes,0.21
German,blurry,yes,0.34
German,brown hair,no,0.46
German,bushy eyebrows,no,1.0
German,chubby,no,0.58
German,double chin,no,0.83
German,expression,neutral,0.05
German,gender,female,1.0
German,glasses,no,1.0
German,goatee,no,1.0
German,gray hair,no,0.47
German,heavy makeup,no,0.65
German,high cheekbones,no,0.03
German,mouth open,no,0.67
German,mustache,no,1.0
German,narrow eyes,no,0.56
German,oval face,yes,0.54
German,pale skin,no,0.17
German,pointy nose,no,0.85
German,race,white,1.0
German,receding hairline,no,0.12
German,rosy cheeks,no,1.0
German,sideburns,no,1.0
German,straight hair,yes,0.64
German,wavy hair,no,1.0
German,wearing earrings,no,0.13
German,wearing hat,no,0.56
German,wearing lipstick,no,0.23
German,wearing necklace,no,0.05
German,wearing necktie,no,1.0
German,young,yes,0.3
Greek,5oclock shadow,no,1.0
Greek,arched eyebrows,no,0.03
