countries,feature,value,confidence,meaning
Hungarian,oval face,yes,0.26,1
Hungarian,pale skin,no,1.0,1
Hungarian,pointy nose,no,0.8,1
Hungarian,race,white,1.0,1
Hungarian,receding hairline,no,0.59,1
Hungarian,rosy cheeks,no,1.0,1
Hungarian,sideburns,no,0.4,1
Hungarian,straight hair,yes,0.67,1
Hungarian,wavy hair,no,1.0,1
Hungarian,wearing earrings,no,0.72,1
Hungarian,wearing hat,no,0.58,1
Hungarian,wearing lipstick,no,0.99,1
Hungarian,wearing necklace,no,1.0,1
Hungarian,wearing necktie,no,0.24,1
Hungarian,young,yes,0.77,1
Indian,5oclock shadow,no,0.09,1
Indian,arched eyebrows,no,0.6,1
Indian,attractive,no,0.85,1
Indian,bags under eyes,no,0.28,1
Indian,bald,no,0.31,1
Indian,bangs,no,1.0,1
Indian,beard,no,0.25,1
Indian,big lips,no,0.49,1
Indian,big nose,yes,0.04,1
Indian,black hair,yes,0.47,1
Indian,blond hair,no,1.0,1
Indian,blurry,no,0.36,1
Indian,brown hair,no,0.84,1
Indian,bushy eyebrows,yes,0.29,1
Indian,chubby,yes,0.22,1
Indian,double chin,no,0.14,1
Indian,expression,neutral,0.77,1
Indian,gender,male,0.98,1
Indian,glasses,no,1.0,1
Indian,goatee,no,0.63,1
Indian,gray hair,no,0.7,1
Indian,heavy makeup,no,0.97,1
Indian,high cheekbones,no,0.64,1
Indian,mouth open,no,0.9,1
Indian,mustache,no,0.35,1
Indian,narrow eyes,no,0.95,1
Indian,oval face,yes,0.58,1
Indian,pale skin,no,0.97,1
Indian,pointy nose,no,1.0,1
Indian,race,hispanic,0.54,1
Indian,receding hairline,no,0.09,1
Indian,rosy cheeks,no,1.0,1
Indian,sideburns,no,0.8,1
Indian,straight hair,yes,0.43,1
Indian,wavy hair,no,1.0,1
Indian,wearing earrings,no,0.78,1
Indian,wearing hat,no,0.37,1
Indian,wearing lipstick,no,0.97,1
Indian,wearing necklace,no,0.96,1
Indian,wearing necktie,yes,0.3,1
Indian,young,yes,0.08,1
Indonesian,5oclock shadow,yes,0.4,1
Indonesian,arched eyebrows,no,0.46,1
Indonesian,attractive,no,0.59,1
Indonesian,bags under eyes,no,0.34,1
Indonesian,bald,no,0.48,1
Indonesian,bangs,no,1.0,1
Indonesian,beard,yes,0.53,1
Indonesian,big lips,no,0.11,1
Indonesian,big nose,yes,0.17,1
Indonesian,black hair,yes,0.88,1
Indonesian,blond hair,no,1.0,1
Indonesian,blurry,no,0.57,1
Indonesian,brown hair,no,0.97,1
Indonesian,bushy eyebrows,yes,0.87,1
Indonesian,chubby,yes,0.13,1
Indonesian,double chin,no,0.27,1
Indonesian,expression,neutral,0.41,1
Indonesian,gender,male,0.95,1
Indonesian,glasses,no,1.0,1
Indonesian,goatee,yes,0.19,1
Indonesian,gray hair,no,1.0,1
Indonesian,heavy makeup,no,0.94,1
Indonesian,high cheekbones,no,0.44,1
Indonesian,mouth open,no,0.88,1
Indonesian,mustache,yes,0.31,1
Indonesian,narrow eyes,no,1.0,1
Indonesian,oval face,yes,0.68,1
Indonesian,pale skin,no,1.0,1
Indonesian,pointy nose,no,1.0,1
Indonesian,race,asian,0.99,1
Indonesian,receding hairline,no,0.39,1
Indonesian,rosy cheeks,no,0.96,1
Indonesian,sideburns,yes,0.0,1
Indonesian,straight hair,yes,0.33,1
Indonesian,wavy hair,no,1.0,1
Indonesian,wearing earrings,no,0.65,1
Indonesian,wearing hat,no,0.3,1
Indonesian,wearing lipstick,no,0.93,1
Indonesian,wearing necklace,no,0.8,1
Indonesian,wearing necktie,yes,0.12,1
Indonesian,young,yes,0.41,1
Iranian,5oclock shadow,yes,0.45,1
Iranian,arched eyebrows,no,0.61,1
Iranian,attractive,yes,0.07,1
Iranian,bags under eyes,no,0.63,1
Iranian,bald,no,0.92,1
Iranian,bangs,no,0.94,1
Iranian,beard,yes,0.22,1
Iranian,big lips,no,0.58,1
Iranian,big nose,no,0.47,1
Iranian,black hair,yes,0.68,1
Iranian,blond hair,no,1.0,1
Iranian,blurry,no,0.99,1
Iranian,brown hair,no,0.59,1
Iranian,bushy eyebrows,yes,1.0,1
Iranian,chubby,no,0.73,1
Iranian,double chin,no,1.0,1
Iranian,expression,neutral,0.95,1
Iranian,gender,male,1.0,1
Iranian,glasses,no,1.0,1
Iranian,goatee,no,0.22,1
Iranian,gray hair,no,1.0,1
Iranian,heavy makeup,no,0.95,1
Iranian,high cheekbones,no,0.94,1
Iranian,mouth open,no,0.92,1
Iranian,mustache,no,0.15,1
Iranian,narrow eyes,no,1.0,1
Iranian,oval face,yes,0.58,1
Iranian,pale skin,no,0.66,1
Iranian,pointy nose,no,0.44,1
Iranian,race,white,0.97,1
Iranian,receding hairline,no,0.86,1
Iranian,rosy cheeks,no,0.96,1
Iranian,sideburns,no,0.29,1
