countries,feature,value,confidence,meaning
Iranian,straight hair,yes,0.76,1
Iranian,wavy hair,no,1.0,1
Iranian,wearing earrings,no,0.82,1
Iranian,wearing hat,no,0.67,1
Iranian,wearing lipstick,no,1.0,1
Iranian,wearing necklace,no,1.0,1
Iranian,wearing necktie,yes,0.25,1
Iranian,young,yes,1.0,1
Irish,5oclock shadow,no,0.06,1
Irish,arched eyebrows,no,0.89,1
Irish,attractive,no,0.06,1
Irish,bags under eyes,no,0.14,1
Irish,bald,no,0.81,1
Irish,bangs,no,0.98,1
Irish,beard,no,0.63,1
Irish,big lips,no,1.0,1
Irish,big nose,no,0.63,1
Irish,black hair,no,0.7,1
Irish,blond hair,no,0.73,1
Irish,blurry,no,0.52,1
Irish,brown hair,yes,0.66,1
Irish,bushy eyebrows,yes,0.05,1
Irish,chubby,no,0.66,1
Irish,double chin,no,0.84,1
Irish,expression,neutral,0.39,1
Irish,gender,male,0.9,1
Irish,glasses,no,1.0,1
Irish,goatee,no,1.0,1
Irish,gray hair,no,0.77,1
Irish,heavy makeup,no,0.88,1
Irish,high cheekbones,no,0.61,1
Irish,mouth open,no,0.93,1
Irish,mustache,no,0.98,1
Irish,narrow eyes,no,0.53,1
Irish,oval face,yes,0.66,1
Irish,pale skin,no,0.66,1
Irish,pointy nose,no,0.77,1
Irish,race,white,1.0,1
Irish,receding hairline,no,0.47,1
Irish,rosy cheeks,no,0.98,1
Irish,sideburns,no,1.0,1
Irish,straight hair,yes,0.92,1
Irish,wavy hair,no,1.0,1
Irish,wearing earrings,no,1.0,1
Irish,wearing hat,no,1.0,1
Irish,wearing lipstick,no,0.91,1
Irish,wearing necklace,no,1.0,1
Irish,wearing necktie,yes,0.27,1
Irish,young,yes,0.56,1
Israeli,5oclock shadow,yes,0.38,1
Israeli,arched eyebrows,no,0.78,1
Israeli,attractive,no,0.33,1
Israeli,bags under eyes,no,0.14,1
Israeli,bald,no,0.49,1
Israeli,bangs,no,0.97,1
Israeli,beard,yes,0.17,1
Israeli,big lips,no,0.99,1
Israeli,big nose,no,0.29,1
Israeli,black hair,no,0.45,1
Israeli,blond hair,no,0.88,1
Israeli,blurry,no,0.4,1
Israeli,brown hair,yes,0.11,1
Israeli,bushy eyebrows,yes,0.16,1
Israeli,chubby,no,0.32,1
Israeli,double chin,no,0.52,1
Israeli,expression,neutral,0.06,1
Israeli,gender,male,0.99,1
Israeli,glasses,no,1.0,1
Israeli,goatee,no,0.32,1
Israeli,gray hair,no,0.72,1
Israeli,heavy makeup,no,0.93,1
Israeli,high cheekbones,no,0.45,1
Israeli,mouth open,no,0.98,1
Israeli,mustache,no,0.27,1
Israeli,narrow eyes,no,0.59,1
Israeli,oval face,yes,0.66,1
Israeli,pale skin,no,0.9,1
Israeli,pointy nose,no,0.82,1
Israeli,race,white,1.0,1
Israeli,receding hairline,no,0.35,1
Israeli,rosy cheeks,no,0.95,1
Israeli,sideburns,no,0.35,1
Israeli,straight hair,yes,0.66,1
Israeli,wavy hair,no,1.0,1
Israeli,wearing earrings,no,1.0,1
Israeli,wearing hat,no,0.71,1
Israeli,wearing lipstick,no,0.98,1
Israeli,wearing necklace,no,1.0,1
Israeli,wearing necktie,yes,0.21,1
Israeli,young,yes,0.34,1
Italian,5oclock shadow,yes,0.49,1
Italian,arched eyebrows,no,0.77,1
Italian,attractive,yes,0.28,1
Italian,bags under eyes,no,0.35,1
Italian,bald,no,1.0,1
Italian,bangs,no,1.0,1
Italian,beard,no,0.05,1
Italian,big lips,no,0.61,1
Italian,big nose,no,0.45,1
Italian,black hair,yes,0.4,1
Italian,blond hair,no,1.0,1
Italian,blurry,no,1.0,1
Italian,brown hair,no,0.21,1
Italian,bushy eyebrows,yes,0.64,1
Italian,chubby,no,0.86,1
Italian,double chin,no,1.0,1
Italian,expression,neutral,1.0,1
Italian,gender,male,1.0,1
Italian,glasses,no,1.0,1
Italian,goatee,no,0.62,1
Italian,gray hair,no,1.0,1
Italian,heavy makeup,no,0.98,1
Italian,high cheekbones,no,1.0,1
Italian,mouth open,no,0.87,1
Italian,mustache,no,0.5,1
Italian,narrow eyes,no,0.88,1
Italian,oval face,yes,0.25,1
Italian,pale skin,no,0.44,1
Italian,pointy nose,no,0.44,1
Italian,race,white,1.0,1
Italian,receding hairline,no,0.79,1
Italian,rosy cheeks,no,1.0,1
Italian,sideburns,no,0.59,1
Italian,straight hair,yes,1.0,1
Italian,wavy hair,no,1.0,1
Italian,wearing earrings,no,1.0,1
Italian,wearing hat,no,0.91,1
Italian,wearing lipstick,no,0.99,1
Italian,wearing necklace,no,1.0,1
Italian,wearing necktie,yes,0.39,1
Italian,young,yes,0.96,1
Japanese,5oclock shadow,yes,0.11,1
Japanese,arched eyebrows,no,0.56,1
Japanese,attractive,no,0.3,1
Japanese,bags under eyes,no,0.27,1
Japanese,bald,no,1.0,1
Japanese,bangs,no,0.1,1
Japanese,beard,yes,0.01,1
Japanese,big lips,no,0.69,1
Japanese,big nose,no,0.44,1
Japanese,black hair,no,0.02,1
Japanese,blond hair,no,1.0,1
Japanese,blurry,no,0.34,1
Japanese,brown hair,yes,0.5,1
Japanese,bushy eyebrows,yes,0.32,1
Japanese,chubby,no,0.64,1
Japanese,double chin,no,1.0,1
Japanese,expression,neutral,0.7,1
Japanese,gender,male,0.84,1
Japanese,glasses,no,1.0,1
Japanese,goatee,no,0.36,1
Japanese,gray hair,no,1.0,1
Japanese,heavy makeup,no,0.88,1
Japanese,high cheekbones,no,0.69,1
Japanese,mouth open,no,0.68,1
Japanese,mustache,no,0.35,1
Japanese,narrow eyes,no,0.02,1
Japanese,oval face,yes,0.69,1
Japanese,pale skin,no,0.9,1
Japanese,pointy nose,no,1.0,1
Japanese,race,asian,1.0,1
Japanese,receding hairline,no,0.87,1
Japanese,rosy cheeks,no,1.0,1
Japanese,sideburns,no,0.39,1
Japanese,straight hair,yes,0.66,1
Japanese,wavy hair,no,0.76,1
Japanese,wearing earrings,no,0.8,1
Japanese,wearing hat,no,1.0,1
Japanese,wearing lipstick,no,0.87,1
Japanese,wearing necklace,no,0.95,1
Japanese,wearing necktie,no,0.27,1
Japanese,young,yes,0.83,1
Korean,5oclock shadow,no,0.72,1
Korean,arched eyebrows,no,0.69,1
Korean,attractive,no,0.36,1
Korean,bags under eyes,yes,0.06,1
Korean,bald,no,1.0,1
Korean,bangs,yes,0.17,1
Korean,beard,no,1.0,1
Korean,big lips,no,0.78,1
Korean,big nose,no,0.28,1
Korean,black hair,yes,1.0,1
Korean,blond hair,no,0.98,1
Korean,blurry,no,0.14,1
Korean,brown hair,no,0.8,1
Korean,bushy eyebrows,yes,0.35,1
Korean,chubby,no,0.18,1
Korean,double chin,no,0.53,1
Korean,expression,neutral,0.45,1
Korean,gender,male,0.64,1
Korean,glasses,no,1.0,1
Korean,goatee,no,1.0,1
Korean,gray hair,no,1.0,1
Korean,heavy makeup,no,0.87,1
Korean,high cheekbones,no,0.16,1
Korean,mouth open,no,0.72,1
Korean,mustache,no,1.0,1
Korean,narrow eyes,yes,0.22,1
Korean,oval face,yes,0.78,1
Korean,pale skin,no,0.8,1
Korean,pointy nose,no,1.0,1
Korean,race,asian,1.0,1
Korean,receding hairline,no,0.88,1
Korean,rosy cheeks,no,0.96,1
Korean,sideburns,no,1.0,1
Korean,straight hair,yes,0.62,1
Korean,wavy hair,no,0.81,1
Korean,wearing earrings,no,0.61,1
Korean,wearing hat,no,0.71,1
Korean,wearing lipstick,no,0.84,1
Korean,wearing necklace,no,0.89,1
Korean,wearing necktie,yes,0.01,1
Korean,young,yes,0.54,1
Laotian,5oclock shadow,no,0.23,1
Laotian,arched eyebrows,no,0.56,1
Laotian,attractive,no,0.28,1
Laotian,bags under eyes,yes,0.03,1
Laotian,bald,no,0.98,1
Laotian,bangs,no,0.97,1
Laotian,beard,no,0.57,1
Laotian,big lips,no,0.62,1
Laotian,big nose,no,0.2,1
Laotian,black hair,yes,1.0,1
Laotian,blond hair,no,1.0,1
Laotian,blurry,no,0.42,1
Laotian,brown hair,no,0.62,1
Laotian,bushy eyebrows,yes,0.83,1
Laotian,chubby,no,0.27,1
Laotian,double chin,no,0.66,1
Laotian,expression,neutral,0.41,1
Laotian,gender,male,0.76,1
Laotian,glasses,no,1.0,1
Laotian,goatee,no,0.88,1
Laotian,gray hair,no,1.0,1
Laotian,heavy makeup,no,0.88,1
Laotian,high cheekbones,no,0.25,1
Laotian,mouth open,no,0.87,1
Laotian,mustache,no,0.7,1
Laotian,narrow eyes,no,0.13,1
Laotian,oval face,yes,0.7,1
Laotian,pale skin,no,0.95,1
Laotian,pointy nose,no,1.0,1
Laotian,race,asian,1.0,1
Laotian,receding hairline,no,0.61,1
Laotian,rosy cheeks,no,1.0,1
Laotian,sideburns,no,0.99,1
Laotian,straight hair,yes,1.0,1
Laotian,wavy hair,no,1.0,1
Laotian,wearing earrings,no,0.73,1
Laotian,wearing hat,no,0.93,1
Laotian,wearing lipstick,no,0.86,1
Laotian,wearing necklace,no,1.0,1
Laotian,wearing necktie,yes,0.06,1
Laotian,young,yes,0.84,1
Mexican,5oclock shadow,yes,0.49,1
Mexican,arched eyebrows,no,0.63,1
Mexican,attractive,yes,0.1,1
Mexican,bags under eyes,no,0.61,1
Mexican,bald,no,0.84,1
Mexican,bangs,no,0.98,1
Mexican,beard,yes,0.48,1
Mexican,big lips,no,0.66,1
Mexican,big nose,no,0.51,1
Mexican,black hair,yes,0.35,1
Mexican,blond hair,no,1.0,1
Mexican,blurry,no,0.64,1
Mexican,brown hair,no,0.28,1
Mexican,bushy eyebrows,yes,0.82,1
Mexican,chubby,no,0.67,1
Mexican,double chin,no,1.0,1
Mexican,expression,neutral,0.76,1
Mexican,gender,male,0.99,1
Mexican,glasses,no,1.0,1
Mexican,goatee,yes,0.09,1
Mexican,gray hair,no,1.0,1
Mexican,heavy makeup,no,0.94,1
Mexican,high cheekbones,no,0.95,1
Mexican,mouth open,no,1.0,1
Mexican,mustache,yes,0.06,1
Mexican,narrow eyes,no,0.83,1
Mexican,oval face,yes,0.61,1
Mexican,pale skin,no,0.62,1
Mexican,pointy nose,no,0.75,1
Mexican,race,hispanic,0.98,1
Mexican,receding hairline,no,0.75,1
Mexican,rosy cheeks,no,1.0,1
Mexican,sideburns,yes,0.03,1
Mexican,straight hair,yes,0.75,1
Mexican,wavy hair,no,1.0,1
Mexican,wearing earrings,no,0.91,1
Mexican,wearing hat,no,0.67,1
Mexican,wearing lipstick,no,0.97,1
Mexican,wearing necklace,no,1.0,1
Mexican,wearing necktie,yes,0.12,1
Mexican,young,yes,0.99,1
Mongolian,5oclock shadow,no,0.61,1
Mongolian,arched eyebrows,no,0.66,1
Mongolian,attractive,no,0.88,1
Mongolian,bags under eyes,yes,0.16,1
Mongolian,bald,no,0.64,1
Mongolian,bangs,no,0.48,1
Mongolian,beard,no,0.78,1
Mongolian,big lips,no,0.92,1
Mongolian,big nose,no,0.13,1
Mongolian,black hair,yes,0.47,1
Mongolian,blond hair,no,1.0,1
Mongolian,blurry,yes,0.19,1
Mongolian,brown hair,no,0.27,1
Mongolian,bushy eyebrows,yes,0.12,1
Mongolian,chubby,yes,0.31,1
Mongolian,double chin,no,0.04,1
Mongolian,expression,neutral,0.26,1
Mongolian,gender,male,0.72,1
Mongolian,glasses,no,1.0,1
Mongolian,goatee,no,1.0,1
Mongolian,gray hair,no,0.65,1
Mongolian,heavy makeup,no,0.92,1
Mongolian,high cheekbones,yes,0.01,1
Mongolian,mouth open,no,1.0,1
Mongolian,mustache,no,0.74,1
Mongolian,narrow eyes,yes,0.47,1
Mongolian,oval face,yes,0.52,1
Mongolian,pale skin,no,1.0,1
Mongolian,pointy nose,no,1.0,1
Mongolian,race,asian,1.0,1
Mongolian,receding hairline,no,0.44,1
Mongolian,rosy cheeks,no,1.0,1
Mongolian,sideburns,no,1.0,1
Mongolian,straight hair,yes,0.72,1
Mongolian,wavy hair,no,1.0,1
Mongolian,wearing earrings,no,0.59,1
Mongolian,wearing hat,no,0.74,1
Mongolian,wearing lipstick,no,0.91,1
Mongolian,wearing necklace,no,0.96,1
Mongolian,wearing necktie,yes,0.21,1
Mongolian,young,no,0.12,1
Nepali,5oclock shadow,no,0.49,1
Nepali,arched eyebrows,no,0.49,1
Nepali,attractive,no,0.81,1
Nepali,bags under eyes,no,0.14,1
Nepali,bald,no,0.54,1
Nepali,bangs,no,1.0,1
Nepali,beard,no,0.54,1
Nepali,big lips,no,0.87,1
Nepali,big nose,no,0.51,1
Nepali,black hair,no,0.28,1
Nepali,blond hair,no,0.93,1
Nepali,blurry,yes,0.39,1
Nepali,brown hair,yes,0.25,1
Nepali,bushy eyebrows,no,0.05,1
Nepali,chubby,no,0.05,1
Nepali,double chin,no,0.41,1
Nepali,expression,neutral,0.13,1
Nepali,gender,male,0.49,1
Nepali,glasses,no,1.0,1
Nepali,goatee,no,0.8,1
Nepali,gray hair,no,0.77,1
Nepali,heavy makeup,no,0.88,1
Nepali,high cheekbones,no,0.09,1
Nepali,mouth open,no,0.42,1
Nepali,mustache,no,0.73,1
Nepali,narrow eyes,yes,0.79,1
Nepali,oval face,yes,0.47,1
Nepali,pale skin,no,1.0,1
Nepali,pointy nose,no,1.0,1
Nepali,race,asian,1.0,1
Nepali,receding hairline,no,0.06,1
Nepali,rosy cheeks,no,1.0,1
Nepali,sideburns,no,0.93,1
Nepali,straight hair,yes,0.52,1
Nepali,wavy hair,no,1.0,1
Nepali,wearing earrings,no,0.36,1
Nepali,wearing hat,no,0.77,1
Nepali,wearing lipstick,no,0.94,1
Nepali,wearing necklace,no,0.95,1
Nepali,wearing necktie,no,0.24,1
Nepali,young,yes,0.34,1
Nigerian,5oclock shadow,yes,0.17,1
Nigerian,arched eyebrows,no,0.6,1
Nigerian,attractive,no,1.0,1
Nigerian,bags under eyes,yes,0.02,1
Nigerian,bald,yes,0.3,1
Nigerian,bangs,no,1.0,1
Nigerian,beard,yes,0.59,1
Nigerian,big lips,yes,0.21,1
Nigerian,big nose,yes,0.55,1
Nigerian,black hair,no,0.35,1
Nigerian,blond hair,no,0.7,1
Nigerian,blurry,no,0.3,1
Nigerian,brown hair,no,0.69,1
Nigerian,bushy eyebrows,yes,0.03,1
Nigerian,chubby,yes,0.47,1
Nigerian,double chin,yes,0.09,1
Nigerian,expression,neutral,0.37,1
Nigerian,gender,male,0.95,1
Nigerian,glasses,no,1.0,1
Nigerian,goatee,yes,0.39,1
Nigerian,gray hair,no,0.39,1
Nigerian,heavy makeup,no,1.0,1
Nigerian,high cheekbones,no,0.06,1
Nigerian,mouth open,no,0.31,1
Nigerian,mustache,yes,0.35,1
Nigerian,narrow eyes,no,1.0,1
Nigerian,oval face,yes,0.58,1
Nigerian,pale skin,no,1.0,1
Nigerian,pointy nose,no,1.0,1
Nigerian,race,black,1.0,1
Nigerian,receding hairline,yes,0.52,1
Nigerian,rosy cheeks,no,0.92,1
Nigerian,sideburns,yes,0.09,1
Nigerian,straight hair,no,0.46,1
Nigerian,wavy hair,no,1.0,1
Nigerian,wearing earrings,no,0.46,1
Nigerian,wearing hat,no,0.23,1
Nigerian,wearing lipstick,no,1.0,1
Nigerian,wearing necklace,no,0.66,1
Nigerian,wearing necktie,no,0.18,1
Nigerian,young,yes,0.05,1
Peruvian,5oclock shadow,yes,0.13,1
Peruvian,arched eyebrows,no,0.88,1
Peruvian,attractive,no,0.34,1
Peruvian,bags under eyes,no,0.42,1
Peruvian,bald,no,0.87,1
Peruvian,bangs,no,1.0,1
Peruvian,beard,no,0.21,1
Peruvian,big lips,no,0.85,1
Peruvian,big nose,no,0.4,1
Peruvian,black hair,yes,0.87,1
Peruvian,blond hair,no,1.0,1
Peruvian,blurry,no,0.34,1
Peruvian,brown hair,no,0.81,1
Peruvian,bushy eyebrows,yes,0.41,1
Peruvian,chubby,no,0.32,1
Peruvian,double chin,no,0.65,1
Peruvian,expression,neutral,0.68,1
Peruvian,gender,male,0.99,1
Peruvian,glasses,no,1.0,1
Peruvian,goatee,no,0.69,1
Peruvian,gray hair,no,1.0,1
Peruvian,heavy makeup,no,0.89,1
Peruvian,high cheekbones,no,0.75,1
Peruvian,mouth open,no,0.84,1
Peruvian,mustache,no,0.49,1
Peruvian,narrow eyes,no,0.69,1
Peruvian,oval face,yes,0.51,1
Peruvian,pale skin,no,0.85,1
Peruvian,pointy nose,no,0.99,1
Peruvian,race,hispanic,0.99,1
Peruvian,receding hairline,no,0.68,1
Peruvian,rosy cheeks,no,1.0,1
Peruvian,sideburns,no,0.73,1
Peruvian,straight hair,yes,0.82,1
Peruvian,wavy hair,no,1.0,1
Peruvian,wearing earrings,no,0.99,1
Peruvian,wearing hat,no,0.58,1
Peruvian,wearing lipstick,no,0.93,1
Peruvian,wearing necklace,no,1.0,1
Peruvian,wearing necktie,yes,0.3,1
Peruvian,young,yes,0.56,1
Polish,5oclock shadow,yes,0.0,1
Polish,arched eyebrows,no,0.97,1
Polish,attractive,no,0.62,1
Polish,bags under eyes,no,0.65,1
Polish,bald,no,0.45,1
Polish,bangs,no,1.0,1
Polish,beard,no,0.27,1
Polish,big lips,no,1.0,1
Polish,big nose,no,0.71,1
Polish,black hair,no,0.77,1
Polish,blond hair,no,0.5,1
Polish,blurry,no,0.05,1
Polish,brown hair,yes,0.07,1
Polish,bushy eyebrows,no,0.56,1
Polish,chubby,no,0.49,1
Polish,double chin,no,0.79,1
Polish,expression,neutral,1.0,1
Polish,gender,male,0.89,1
Polish,glasses,no,1.0,1
Polish,goatee,no,0.69,1
Polish,gray hair,no,0.54,1
Polish,heavy makeup,no,0.94,1
Polish,high cheekbones,no,1.0,1
Polish,mouth open,no,0.9,1
Polish,mustache,no,0.65,1
Polish,narrow eyes,no,0.68,1
Polish,oval face,yes,0.52,1
Polish,pale skin,no,0.62,1
Polish,pointy nose,no,0.8,1
Polish,race,white,1.0,1
Polish,receding hairline,no,0.09,1
Polish,rosy cheeks,no,1.0,1
Polish,sideburns,no,0.72,1
Polish,straight hair,yes,0.62,1
Polish,wavy hair,no,1.0,1
Polish,wearing earrings,no,0.92,1
Polish,wearing hat,no,0.83,1
Polish,wearing lipstick,no,1.0,1
Polish,wearing necklace,no,1.0,1
Polish,wearing necktie,no,0.03,1
Polish,young,yes,0.28,1
Puertorican,5oclock shadow,yes,0.41,1
Puertorican,arched eyebrows,no,0.52,1
Puertorican,attractive,no,0.24,1
Puertorican,bags under eyes,no,0.45,1
Puertorican,bald,no,0.63,1
Puertorican,bangs,no,1.0,1
Puertorican,beard,yes,0.31,1
Puertorican,big lips,no,0.38,1
Puertorican,big nose,no,0.22,1
Puertorican,black hair,yes,0.44,1
Puertorican,blond hair,no,1.0,1
Puertorican,blurry,no,0.78,1
Puertorican,brown hair,no,0.56,1
Puertorican,bushy eyebrows,yes,0.93,1
Puertorican,chubby,no,0.41,1
Puertorican,double chin,no,0.78,1
Puertorican,expression,neutral,0.81,1
Puertorican,gender,male,1.0,1
Puertorican,glasses,no,1.0,1
Puertorican,goatee,no,0.05,1
Puertorican,gray hair,no,1.0,1
Puertorican,heavy makeup,no,0.95,1
Puertorican,high cheekbones,no,0.86,1
Puertorican,mouth open,no,1.0,1
Puertorican,mustache,yes,0.0,1
Puertorican,narrow eyes,no,1.0,1
Puertorican,oval face,yes,0.53,1
Puertorican,pale skin,no,0.82,1
Puertorican,pointy nose,no,0.7,1
Puertorican,race,white,1.0,1
Puertorican,receding hairline,no,0.41,1
Puertorican,rosy cheeks,no,1.0,1
Puertorican,sideburns,no,0.18,1
Puertorican,straight hair,yes,0.57,1
Puertorican,wavy hair,no,1.0,1
Puertorican,wearing earrings,no,0.82,1
Puertorican,wearing hat,no,0.57,1
Puertorican,wearing lipstick,no,0.98,1
Puertorican,wearing necklace,no,1.0,1
Puertorican,wearing necktie,yes,0.16,1
Puertorican,young,yes,0.77,1
Romanian,5oclock shadow,no,0.14,1
Romanian,arched eyebrows,no,0.71,1
Romanian,attractive,yes,0.02,1
Romanian,bags under eyes,no,0.61,1
Romanian,bald,no,1.0,1
Romanian,bangs,no,0.99,1
Romanian,beard,no,0.74,1
Romanian,big lips,no,0.89,1
Romanian,big nose,no,0.68,1
Romanian,black hair,no,0.06,1
Romanian,blond hair,no,0.86,1
Romanian,blurry,no,0.52,1
Romanian,brown hair,yes,0.11,1
Romanian,bushy eyebrows,yes,0.49,1
Romanian,chubby,no,0.77,1
Romanian,double chin,no,1.0,1
Romanian,expression,neutral,0.37,1
Romanian,gender,male,0.76,1
Romanian,glasses,no,1.0,1
Romanian,goatee,no,1.0,1
Romanian,gray hair,no,1.0,1
Romanian,heavy makeup,no,0.9,1
Romanian,high cheekbones,no,0.58,1
Romanian,mouth open,no,0.83,1
Romanian,mustache,no,1.0,1
Romanian,narrow eyes,no,0.76,1
Romanian,oval face,yes,0.8,1
Romanian,pale skin,no,0.72,1
Romanian,pointy nose,no,0.86,1
Romanian,race,white,1.0,1
Romanian,receding hairline,no,0.72,1
Romanian,rosy cheeks,no,0.93,1
Romanian,sideburns,no,1.0,1
Romanian,straight hair,yes,0.92,1
Romanian,wavy hair,no,1.0,1
Romanian,wearing earrings,no,0.69,1
Romanian,wearing hat,no,0.78,1
Romanian,wearing lipstick,no,0.91,1
Romanian,wearing necklace,no,1.0,1
Romanian,wearing necktie,no,0.09,1
Romanian,young,yes,1.0,1
Russian,5oclock shadow,yes,0.33,1
Russian,arched eyebrows,no,0.93,1
Russian,attractive,no,0.39,1
Russian,bags under eyes,no,0.5,1
Russian,bald,no,0.39,1
Russian,bangs,no,0.95,1
Russian,beard,yes,0.18,1
Russian,big lips,no,0.69,1
Russian,big nose,no,0.36,1
Russian,black hair,no,0.68,1
Russian,blond hair,no,0.77,1
Russian,blurry,no,0.6,1
Russian,brown hair,yes,0.16,1
Russian,bushy eyebrows,no,0.02,1
Russian,chubby,no,0.4,1
Russian,double chin,no,0.75,1
Russian,expression,neutral,0.88,1
Russian,gender,male,0.97,1
Russian,glasses,no,1.0,1
Russian,goatee,no,0.2,1
Russian,gray hair,no,0.77,1
Russian,heavy makeup,no,0.94,1
Russian,high cheekbones,no,0.9,1
Russian,mouth open,no,0.88,1
Russian,mustache,no,0.2,1
Russian,narrow eyes,no,1.0,1
Russian,oval face,yes,0.71,1
Russian,pale skin,no,0.69,1
Russian,pointy nose,no,0.91,1
Russian,race,white,1.0,1
Russian,receding hairline,no,0.25,1
Russian,rosy cheeks,no,1.0,1
Russian,sideburns,no,0.29,1
Russian,straight hair,yes,0.41,1
Russian,wavy hair,no,1.0,1
Russian,wearing earrings,no,0.95,1
Russian,wearing hat,no,0.61,1
Russian,wearing lipstick,no,1.0,1
Russian,wearing necklace,no,1.0,1
Russian,wearing necktie,yes,0.05,1
Russian,young,yes,0.54,1
Samoan,5oclock shadow,yes,0.34,1
Samoan,arched eyebrows,no,0.51,1
Samoan,attractive,no,0.66,1
Samoan,bags under eyes,no,0.33,1
Samoan,bald,no,0.65,1
Samoan,bangs,no,1.0,1
Samoan,beard,yes,0.43,1
Samoan,big lips,no,0.54,1
Samoan,big nose,no,0.18,1
Samoan,black hair,yes,0.92,1
Samoan,blond hair,no,1.0,1
Samoan,blurry,no,0.28,1
Samoan,brown hair,no,0.9,1
Samoan,bushy eyebrows,yes,0.9,1
Samoan,chubby,no,0.08,1
Samoan,double chin,no,0.55,1
Samoan,expression,neutral,0.91,1
Samoan,gender,male,0.96,1
Samoan,glasses,no,1.0,1
Samoan,goatee,yes,0.12,1
Samoan,gray hair,no,1.0,1
Samoan,heavy makeup,no,0.84,1
Samoan,high cheekbones,no,0.71,1
Samoan,mouth open,no,0.92,1
Samoan,mustache,yes,0.17,1
Samoan,narrow eyes,no,0.46,1
Samoan,oval face,yes,0.51,1
Samoan,pale skin,no,1.0,1
Samoan,pointy nose,no,0.83,1
Samoan,race,hispanic,0.92,1
Samoan,receding hairline,no,0.34,1
Samoan,rosy cheeks,no,0.93,1
Samoan,sideburns,no,0.01,1
Samoan,straight hair,yes,0.33,1
Samoan,wavy hair,no,0.98,1
Samoan,wearing earrings,no,0.69,1
Samoan,wearing hat,no,0.69,1
Samoan,wearing lipstick,no,0.91,1
Samoan,wearing necklace,no,1.0,1
Samoan,wearing necktie,yes,0.03,1
Samoan,young,yes,0.41,1
Saudi Arabian,5oclock shadow,yes,0.48,1
Saudi Arabian,arched eyebrows,no,0.6,1
Saudi Arabian,attractive,no,0.31,1
Saudi Arabian,bags under eyes,no,0.52,1
Saudi Arabian,bald,no,0.68,1
Saudi Arabian,bangs,no,0.94,1
Saudi Arabian,beard,yes,0.56,1
Saudi Arabian,big lips,no,0.63,1
Saudi Arabian,big nose,no,0.23,1
Saudi Arabian,black hair,no,0.19,1
Saudi Arabian,blond hair,no,0.9,1
Saudi Arabian,blurry,no,0.62,1
Saudi Arabian,brown hair,yes,0.21,1
Saudi Arabian,bushy eyebrows,yes,0.9,1
Saudi Arabian,chubby,no,0.31,1
Saudi Arabian,double chin,no,0.64,1
Saudi Arabian,expression,neutral,0.27,1
Saudi Arabian,gender,male,0.92,1
Saudi Arabian,glasses,no,1.0,1
Saudi Arabian,goatee,yes,0.22,1
Saudi Arabian,gray hair,no,1.0,1
Saudi Arabian,heavy makeup,no,0.91,1
Saudi Arabian,high cheekbones,no,0.58,1
Saudi Arabian,mouth open,no,0.88,1
Saudi Arabian,mustache,yes,0.22,1
Saudi Arabian,narrow eyes,no,1.0,1
Saudi Arabian,oval face,yes,0.87,1
Saudi Arabian,pale skin,no,1.0,1
Saudi Arabian,pointy nose,no,0.89,1
Saudi Arabian,race,white,1.0,1
Saudi Arabian,receding hairline,no,0.72,1
Saudi Arabian,rosy cheeks,no,0.9,1
Saudi Arabian,sideburns,yes,0.11,1
Saudi Arabian,straight hair,yes,0.49,1
Saudi Arabian,wavy hair,no,1.0,1
Saudi Arabian,wearing earrings,no,0.77,1
Saudi Arabian,wearing hat,no,0.62,1
Saudi Arabian,wearing lipstick,no,0.93,1
Saudi Arabian,wearing necklace,no,0.96,1
Saudi Arabian,wearing necktie,no,0.05,1
Saudi Arabian,young,yes,0.65,1
Serbian,5oclock shadow,yes,0.52,1
Serbian,arched eyebrows,no,0.66,1
Serbian,attractive,yes,0.11,1
Serbian,bags under eyes,no,0.56,1
Serbian,bald,no,0.77,1
Serbian,bangs,no,0.96,1
Serbian,beard,yes,0.39,1
Serbian,big lips,no,0.46,1
Serbian,big nose,no,0.36,1
Serbian,black hair,yes,0.01,1
Serbian,blond hair,no,0.92,1
Serbian,blurry,no,0.95,1
Serbian,brown hair,yes,0.01,1
Serbian,bushy eyebrows,yes,0.78,1
Serbian,chubby,no,0.75,1
Serbian,double chin,no,1.0,1
Serbian,expression,neutral,0.94,1
Serbian,gender,male,1.0,1
Serbian,glasses,no,1.0,1
Serbian,goatee,no,0.01,1
Serbian,gray hair,no,1.0,1
Serbian,heavy makeup,no,1.0,1
Serbian,high cheekbones,no,0.99,1
Serbian,mouth open,no,0.98,1
Serbian,mustache,no,0.06,1
Serbian,narrow eyes,no,1.0,1
Serbian,oval face,yes,0.68,1
Serbian,pale skin,no,0.59,1
Serbian,pointy nose,no,0.72,1
Serbian,race,white,1.0,1
Serbian,receding hairline,no,0.65,1
Serbian,rosy cheeks,no,1.0,1
Serbian,sideburns,no,0.09,1
Serbian,straight hair,yes,0.71,1
Serbian,wavy hair,no,1.0,1
Serbian,wearing earrings,no,0.83,1
Serbian,wearing hat,no,0.6,1
Serbian,wearing lipstick,no,1.0,1
Serbian,wearing necklace,no,1.0,1
Serbian,wearing necktie,no,0.01,1
Serbian,young,yes,1.0,1
South African,5oclock shadow,yes,0.17,1
South African,arched eyebrows,no,0.36,1
South African,attractive,no,1.0,1
South African,bags under eyes,yes,0.1,1
